iter	Passed	Remaining
408	14667	21194
409	14705	21161
410	14744	21129
411	14773	21084
412	14802	21039
413	14836	21000
414	14870	20961
415	14913	20936
416	14945	20894
417	14974	20850
418	15008	20810
419	15051	20785
420	15097	20764
421	15129	20722
422	15167	20689
423	15205	20656
424	15240	20619
425	15277	20584
426	15306	20540
427	15343	20505
428	15380	20471
429	15419	20439
430	15445	20390
431	15473	20345
432	15500	20297
433	15531	20255
434	15562	20212
435	15599	20178
436	15635	20144
437	15668	20104
438	15690	20051
439	15725	20014
440	15755	19971
441	15783	19925
442	15818	19888
443	15852	19851
444	15885	19812
445	15927	19784
446	15954	19738
447	15984	19695
448	16019	19658
449	16049	19615
450	16087	19583
451	16117	19541
452	16155	19507
453	16221	19509
454	16275	19494
455	16312	19460
456	16343	19418
457	16370	19373
458	16416	19349
459	16449	19310
460	16474	19261
461	16496	19210
462	16526	19168
463	16565	19135
464	16603	19102
465	16645	19074
466	16681	19038
467	16716	19002
468	16748	18962
469	16790	18933
470	16820	18891
471	16861	18862
472	16895	18824
473	16928	18785
474	16969	18755
475	17002	18717
476	17047	18691
477	17097	18671
478	17138	18640
479	17173	18604
480	17202	18561
481	17228	18515
482	17260	18474
483	17322	18467
484	17373	18447
485	17408	18411
486	17447	18379
487	17483	18343
488	17510	18298
489	17546	18262
490	17582	18227
491	17617	18190
492	17652	18153
493	17685	18115
494	17721	18079
495	17751	18037
496	17788	18003
497	17820	17964
498	17855	17926
499	17887	17887
500	17930	17858
501	17980	17836
502	18027	17812
503	18078	17791
504	18182	17822
505	18228	17795
506	18262	17758
507	18287	17711
508	18324	17676
509	18359	17639
510	18394	17602
511	18441	17577
512	18478	17541
513	18509	17501
514	18548	17467
515	18588	17435
516	18628	17403
517	18665	17368
518	18713	17343
519	18748	17306
520	18806	17290
521	18849	17260
522	18880	17220
523	18913	17181
524	18945	17141
525	18987	17110
526	19028	17078
527	19057	17035
528	19100	17005
529	19135	16969
530	19166	16929
531	19201	16891
532	19238	16855
533	19274	16819
534	19317	16789
535	19358	16757
536	19392	16720
537	19428	16683
538	19491	16670
539	19531	16638
540	19589	16619
541	19638	16594
542	19685	16567
543	19716	16527
544	19771	16506
545	19832	16490
546	19868	16454
547	19906	16419
548	19941	16382
549	19970	16339
550	20016	16311
551	20052	16274
552	20091	16239
553	20126	16202
554	20169	16172
555	20207	16136
556	20236	16094
557	20276	16061
558	20313	16025
559	20346	15986
560	20382	15949
561	20419	15914
562	20447	15871
563	20474	15827
564	20514	15794
565	20552	15759
566	20585	15720
567	20614	15678
568	20644	15637
569	20675	15597
570	20705	15555
571	20735	15515
572	20760	15471
573	20802	15439
574	20830	15396
575	20862	15357
576	20889	15314
577	20918	15272
578	20948	15231
579	20984	15195
580	21024	15162
581	21060	15125
582	21105	15095
583	21137	15056
584	21181	15026
