iter	Logloss
0	0.6928780185
1	0.6925355114
2	0.6922373935
3	0.691863518
4	0.6915097064
5	0.6911759588
6	0.6909022846
7	0.6905559304
8	0.6902600616
9	0.6900028409
10	0.6897163234
11	0.6894585109
12	0.6891792732
13	0.6889281487
14	0.6886199692
15	0.6883433949
16	0.6881025687
17	0.6878871922
18	0.6876540009
19	0.6874479167
20	0.6871625237
21	0.6869512902
22	0.6867210582
23	0.6864654356
24	0.6863355824
25	0.6861767282
26	0.6859754972
27	0.6857522491
28	0.6855441525
29	0.6853776634
30	0.685175071
31	0.6850333215
32	0.6848114347
33	0.6845973011
34	0.6844058357
35	0.6842426018
36	0.6840680043
37	0.6838531605
38	0.6836867898
39	0.6835046165
40	0.6833220881
41	0.6831573153
42	0.682966205
43	0.6827451468
44	0.6825711411
45	0.6823299598
46	0.6820970052
47	0.6818670691
48	0.6816734138
49	0.6815451586
50	0.6813410275
51	0.6811441761
52	0.6810139086
53	0.6808623935
54	0.6807269176
55	0.6805910866
56	0.6804516454
57	0.6802842685
58	0.6801116241
59	0.6799720052
60	0.6798087713
61	0.6796901634
62	0.6795141454
63	0.6793462358
64	0.6791551255
65	0.6790022491
66	0.678831321
67	0.6786636482
68	0.6785097064
69	0.6783840554
70	0.6782218868
71	0.6780410748
72	0.6779185014
73	0.677746508
74	0.6776084872
75	0.6774738991
76	0.6773467093
77	0.6772091619
78	0.6770143229
79	0.6768701468
80	0.6767143703
81	0.6765495384
82	0.6764107481
83	0.6762542022
84	0.6761048177
85	0.6759136482
86	0.6757417732
87	0.6756764915
88	0.6755158026
89	0.6753926965
90	0.6752444366
91	0.6751118016
92	0.6749753196
93	0.6747695313
94	0.6746194957
95	0.6744730114
96	0.6743160511
97	0.6741579072
98	0.6741165956
99	0.6740148556
100	0.6739047112
101	0.6737192235
102	0.6735266927
103	0.6733789654
104	0.6732224195
105	0.6730803741
106	0.6729115175
107	0.67275
108	0.6725835109
109	0.6724080848
110	0.6722778764
111	0.6721384351
112	0.6720043205
113	0.6718910985
114	0.6716883286
115	0.6715747514
116	0.671480232
117	0.6713229759
118	0.6712078598
119	0.6710508404
120	0.6709205729
121	0.6707734375
122	0.6706661932
123	0.6705258049
124	0.6703353456
125	0.6701885062
126	0.670004143
127	0.6698767164
128	0.6697519531
129	0.669561553
130	0.6694827178
131	0.6693609138
132	0.6693433949
133	0.6691960819
134	0.669027758
135	0.6689986979
136	0.6688755327
137	0.6687239583
138	0.6686028054
139	0.6684654948
140	0.6683014323
141	0.6681483783
142	0.6680255682
143	0.667921875
144	0.6677699455
145	0.6676048177
146	0.6674863873
147	0.667341205
148	0.6672283381
149	0.6670952888
150	0.6669912405
151	0.6668457031
152	0.666788589
153	0.6666860204
154	0.666531901
155	0.6664190933
156	0.6662607126
157	0.6661761364
158	0.6660639205
159	0.6659675663
160	0.6658187737
161	0.6656987453
162	0.665553563
163	0.6654197443
164	0.6652682292
165	0.6651805753
166	0.6651022727
167	0.6649892874
168	0.6648104285
169	0.6647049006
170	0.6645906132
171	0.6644411695
172	0.6642776989
173	0.6641593277
174	0.6640201231
175	0.6638625118
176	0.6637447325
177	0.6636107955
178	0.6635270478
179	0.6634766809
180	0.6634487453
181	0.6632948627
182	0.6632062027
183	0.6631133404
184	0.6629872751
185	0.6628374171
186	0.662737867
187	0.6625894295
188	0.6624513494
189	0.6623407315
190	0.6621899858
191	0.6620265152
192	0.6618663589
193	0.6617340791
194	0.6616504498
195	0.6615156842
196	0.6613857718
197	0.6612460937
198	0.6611395597
199	0.6610352746
200	0.6609182055
201	0.660745206
202	0.6606300308
203	0.660527758
204	0.6603892045
205	0.6602612453
206	0.6601409209
207	0.6600256274
208	0.659907848
209	0.6597801255
210	0.6596069484
211	0.6595247396
212	0.6594120502
213	0.6592599432
214	0.6591595644
215	0.6590417259
216	0.6589098011
217	0.6587724905
218	0.6585961174
219	0.6584708215
220	0.6583638731
221	0.6582926728
222	0.6581779711
223	0.6580540956
224	0.6579538352
225	0.6577987098
226	0.6577595881
227	0.6576264205
228	0.6575011245
229	0.6573621567
230	0.657232777
231	0.6571162997
232	0.6570238518
233	0.6568935251
234	0.6567900095
235	0.6566981534
236	0.6565400687
237	0.656485322
238	0.65638808
239	0.6562321851
240	0.6561260653
241	0.656010831
242	0.6558828125
243	0.6557501776
244	0.6556003196
245	0.655409742
246	0.6553813329
247	0.6552663352
248	0.6551553622
249	0.6550224905
250	0.6548883759
251	0.6548869555
252	0.6547626065
253	0.6546229285
254	0.654478634
255	0.6543580137
256	0.6542220644
257	0.6540437382
258	0.6540420218
259	0.6539326468
260	0.6537592921
261	0.65366134
262	0.6535570549
263	0.6534147135
264	0.6532723722
265	0.6532642045
266	0.6531809896
267	0.6530410748
268	0.6529023438
269	0.6527728456
270	0.6526176018
271	0.6524482718
272	0.6523216738
273	0.6521860795
274	0.652083215
275	0.6519570313
276	0.651797526
277	0.6516531132
278	0.6515323153
279	0.6514450166
280	0.6512871094
281	0.6511386719
282	0.6510033736
283	0.6509013376
284	0.6507913116
285	0.6507144886
286	0.650631392
287	0.6505257457
288	0.6503968395
289	0.6503867779
290	0.6502339015
291	0.6501260653
292	0.6500738045
293	0.6499589252
294	0.6498312618
295	0.6497097538
296	0.6495374053
297	0.6494298059
298	0.6494206913
299	0.6493285985
