iter	Passed	Remaining
401	14324	21308
402	14360	21272
403	14396	21238
404	14430	21200
405	14460	21157
406	14493	21116
407	14523	21073
408	14555	21032
409	14587	20992
410	14624	20958
411	14662	20926
412	14698	20891
413	14731	20851
414	14765	20814
415	14797	20773
416	14829	20733
417	14863	20695
418	14901	20662
419	14936	20627
420	14973	20593
421	15008	20556
422	15044	20521
423	15078	20484
424	15111	20444
425	15145	20407
426	15178	20368
427	15212	20330
428	15249	20296
429	15282	20258
430	15318	20223
431	15355	20189
432	15393	20157
433	15430	20123
434	15462	20083
435	15498	20048
436	15535	20014
437	15569	19977
438	15601	19937
439	15636	19901
440	15668	19861
441	15700	19820
442	15733	19781
443	15770	19748
444	15805	19712
445	15838	19673
446	15870	19633
447	15904	19596
448	15937	19558
449	15971	19520
450	16005	19483
451	16037	19443
452	16072	19407
453	16105	19368
454	16139	19332
455	16171	19292
456	16203	19253
457	16239	19218
458	16273	19180
459	16310	19146
460	16347	19112
461	16388	19084
462	16423	19048
463	16460	19014
464	16495	18978
465	16532	18944
466	16570	18912
467	16608	18879
468	16642	18843
469	16674	18803
470	16706	18764
471	16739	18725
472	16774	18689
473	16807	18651
474	16838	18610
475	16872	18574
476	16910	18541
477	16943	18503
478	16976	18465
479	17012	18430
480	17044	18390
481	17077	18352
482	17118	18323
483	17151	18285
484	17187	18250
485	17224	18216
486	17259	18180
487	17295	18145
488	17327	18107
489	17359	18068
490	17393	18031
491	17428	17995
492	17462	17958
493	17493	17918
494	17549	17903
495	17582	17866
496	17614	17827
497	17647	17789
498	17680	17751
499	17715	17715
500	17750	17679
501	17786	17645
502	17822	17609
503	17855	17572
504	17890	17536
505	17923	17498
506	17955	17459
507	17995	17428
508	18044	17406
509	18079	17370
510	18111	17331
511	18144	17294
512	18176	17255
513	18208	17216
514	18240	17178
515	18275	17142
516	18312	17108
517	18353	17077
518	18390	17043
519	18427	17009
520	18467	16978
521	18500	16940
522	18534	16904
523	18575	16873
524	18608	16835
525	18642	16799
526	18677	16764
527	18720	16735
528	18760	16703
529	18795	16667
530	18830	16632
531	18866	16597
532	18900	16559
533	18943	16531
534	18983	16499
535	19016	16462
536	19050	16425
537	19085	16389
538	19119	16352
539	19157	16319
540	19200	16289
541	19244	16262
542	19289	16234
543	19328	16201
544	19364	16167
545	19398	16129
546	19434	16094
547	19466	16056
548	19503	16021
549	19550	15996
550	19586	15960
551	19619	15922
552	19651	15884
553	19684	15846
554	19723	15814
555	19757	15777
556	19789	15739
557	19822	15701
558	19855	15664
559	19891	15628
560	19924	15591
561	19956	15553
562	19993	15519
563	20033	15486
564	20071	15452
565	20107	15418
566	20145	15384
567	20188	15354
568	20220	15316
569	20253	15279
570	20288	15243
571	20323	15207
572	20359	15171
573	20392	15134
574	20426	15097
575	20459	15060
576	20492	15022
577	20534	14992
578	20575	14960
579	20608	14923
580	20642	14886
581	20674	14848
582	20706	14810
583	20738	14772
584	20770	14734
585	20802	14696
586	20835	14659
587	20871	14624
588	20903	14586
589	20936	14549
590	20970	14512
591	21004	14476
592	21040	14440
593	21070	14402
594	21102	14364
595	21138	14328
596	21172	14292
597	21204	14254
598	21238	14217
599	21281	14187
600	21316	14151
601	21352	14116
602	21385	14079
603	21418	14042
604	21472	14019
605	21508	13983
606	21540	13946
607	21575	13910
608	21608	13873
609	21642	13836
610	21676	13800
611	21717	13768
612	21750	13731
613	21785	13695
614	21817	13658
615	21848	13619
616	21880	13581
617	21912	13544
618	21944	13507
619	21976	13469
620	22010	13432
621	22045	13397
622	22079	13361
623	22111	13323
624	22143	13286
625	22177	13249
626	22209	13212
627	22245	13177
628	22283	13143
629	22316	13106
630	22349	13069
631	22382	13032
632	22418	12997
633	22454	12962
634	22490	12927
635	22526	12892
636	22563	12857
637	22599	12823
638	22631	12785
639	22667	12750
640	22705	12716
641	22739	12680
642	22772	12643
643	22812	12610
644	22846	12574
645	22878	12537
646	22913	12501
647	22953	12468
648	22986	12432
649	23022	12396
650	23062	12363
651	23094	12326
652	23128	12290
653	23165	12255
654	23209	12225
655	23245	12189
656	23284	12156
657	23323	12122
658	23373	12094
659	23412	12061
660	23445	12024
661	23478	11987
662	23511	11950
663	23546	11914
664	23579	11878
665	23612	11841
666	23648	11806
667	23682	11770
668	23714	11733
669	23747	11696
670	23779	11659
671	23814	11623
672	23849	11588
673	23883	11552
674	23916	11515
675	23948	11478
676	23980	11441
677	24014	11405
678	24047	11368
679	24082	11332
680	24112	11295
681	24145	11258
682	24182	11223
683	24221	11189
684	24254	11153
685	24293	11119
686	24337	11088
687	24376	11054
688	24410	11018
689	24442	10981
690	24476	10945
691	24514	10911
692	24558	10879
693	24592	10843
694	24628	10808
695	24661	10771
696	24694	10735
697	24728	10699
698	24760	10662
699	24792	10625
700	24826	10589
701	24861	10553
702	24904	10521
703	24942	10487
704	24980	10452
705	25018	10418
706	25053	10382
707	25088	10347
708	25127	10313
709	25159	10276
710	25192	10239
711	25224	10203
712	25260	10167
713	25306	10136
714	25344	10102
715	25380	10067
716	25414	10031
717	25446	9994
718	25477	9957
719	25512	9921
720	25545	9885
721	25578	9848
722	25616	9814
723	25653	9779
724	25685	9742
725	25723	9708
726	25759	9672
727	25794	9637
728	25827	9601
729	25865	9566
730	25900	9531
731	25935	9495
732	25974	9461
733	26012	9427
734	26049	9391
735	26083	9356
736	26118	9320
737	26154	9285
738	26190	9250
739	26222	9213
740	26254	9176
741	26288	9140
742	26321	9104
743	26359	9069
744	26391	9033
745	26423	8996
746	26455	8960
747	26489	8924
748	26522	8887
749	26554	8851
750	26586	8815
751	26619	8778
752	26651	8742
753	26684	8705
754	26716	8669
755	26750	8633
756	26785	8598
757	26822	8563
758	26858	8528
759	26894	8492
760	26928	8457
761	26963	8421
762	27006	8388
763	27055	8357
764	27092	8322
765	27128	8287
766	27165	8252
767	27199	8216
768	27233	8180
769	27270	8145
770	27305	8110
771	27338	8073
772	27371	8037
773	27401	8000
774	27435	7965
775	27468	7929
776	27504	7893
777	27539	7858
778	27575	7822
779	27609	7787
780	27642	7751
781	27675	7715
782	27709	7679
783	27742	7643
784	27774	7607
785	27807	7571
786	27840	7535
787	27872	7498
788	27906	7462
789	27940	7427
790	27975	7391
791	28010	7356
792	28054	7323
793	28088	7287
794	28120	7251
795	28160	7216
796	28191	7180
797	28224	7144
798	28263	7110
799	28296	7074
800	28329	7038
801	28375	7005
802	28418	6971
803	28452	6936
804	28488	6900
805	28525	6865
806	28559	6830
807	28592	6794
808	28629	6759
809	28663	6723
810	28697	6687
811	28733	6652
812	28766	6616
813	28804	6581
814	28840	6546
815	28872	6510
816	28907	6474
817	28944	6439
818	28976	6403
819	29011	6368
820	29045	6332
821	29078	6296
822	29127	6264
823	29162	6228
824	29193	6192
825	29227	6156
826	29271	6123
827	29306	6087
828	29338	6051
829	29394	6020
830	29443	5987
831	29479	5952
832	29512	5916
833	29551	5881
834	29586	5846
835	29616	5810
836	29657	5775
837	29694	5740
838	29730	5705
839	29766	5669
840	29812	5636
841	29852	5601
842	29888	5566
843	29923	5530
844	29955	5494
845	29993	5459
846	30031	5424
847	30068	5389
848	30102	5353
849	30150	5320
850	30194	5286
851	30227	5250
852	30267	5216
853	30315	5182
854	30351	5147
855	30385	5111
856	30420	5075
857	30456	5040
858	30492	5005
859	30528	4969
860	30563	4934
861	30595	4898
862	30635	4863
863	30667	4827
864	30702	4791
865	30738	4756
866	30770	4720
867	30804	4684
868	30837	4648
869	30872	4613
870	30906	4577
871	30940	4541
872	30973	4505
873	31009	4470
874	31046	4435
875	31086	4400
876	31120	4364
877	31167	4330
878	31199	4294
879	31232	4258
880	31271	4223
881	31311	4189
882	31344	4153
883	31377	4117
884	31418	4082
885	31452	4046
886	31489	4011
887	31528	3976
888	31561	3940
889	31593	3904
890	31623	3868
891	31656	3832
892	31688	3796
893	31722	3761
894	31754	3725
895	31787	3689
896	31821	3653
897	31857	3618
898	31894	3583
899	31928	3547
900	31964	3512
901	31999	3476
902	32034	3441
903	32070	3405
904	32106	3370
905	32140	3334
906	32178	3299
907	32213	3263
908	32249	3228
909	32289	3193
910	32324	3157
911	32359	3122
912	32391	3086
913	32425	3050
914	32460	3015
915	32493	2979
916	32524	2943
917	32561	2908
918	32598	2873
919	32630	2837
920	32662	2801
921	32696	2766
922	32729	2730
923	32762	2694
924	32794	2659
925	32827	2623
926	32861	2587
927	32897	2552
928	32932	2516
929	32968	2481
930	33006	2446
931	33042	2410
932	33077	2375
933	33106	2339
934	33141	2303
935	33174	2268
936	33206	2232
937	33244	2197
938	33280	2161
939	33315	2126
940	33348	2090
941	33386	2055
942	33426	2020
943	33459	1984
944	33492	1949
945	33525	1913
946	33558	1878
947	33590	1842
948	33622	1806
949	33657	1771
950	33689	1735
951	33728	1700
952	33764	1665
953	33800	1629
954	33838	1594
955	33876	1559
956	33911	1523
957	33944	1488
958	33985	1452
959	34017	1417
960	34053	1381
961	34095	1346
962	34128	1311
963	34161	1275
964	34193	1240
965	34227	1204
966	34260	1169
967	34293	1133
968	34325	1098
969	34360	1062
970	34399	1027
971	34437	992
972	34472	956
973	34511	921
974	34548	885
975	34586	850
976	34621	815
977	34656	779
978	34689	744
979	34721	708
980	34754	673
981	34789	637
982	34825	602
983	34860	566
984	34894	531
985	34930	495
986	34965	460
987	35002	425
988	35034	389
989	35064	354
990	35096	318
991	35127	283
992	35160	247
993	35192	212
994	35234	177
995	35270	141
996	35310	106
997	35342	70
998	35384	35
999	35418	0
